OwnerID,Gender,Ethnicity,Age,Income,Occupation,HairColor,CarMake,CarModel,CarAge,EngineSize,BodyStyle,CarCost,FuelType,DrivingStyle,IsModified,MileagePerYear,ServiceHistory
O001,Male,Mixed,56,161867,Doctor,Bald,BMW,X5,14,3.0,Wagon,16000,Hybrid,Aggressive,No,26575,4
O002,Other,Mixed,40,183266,Artist,Black,BMW,i3,10,1.6,Convertible,33900,Hybrid,Aggressive,No,19423,4
O003,Female,Other,53,31023,Student,Black,Ford,Fiesta,2,4.0,Sedan,33100,Electric,Aggressive,Yes,6685,4
O004,Male,White,38,199779,Student,Black,Toyota,Yaris,11,1.6,Coupe,19600,Electric,Aggressive,Yes,13666,2
O005,Female,White,59,164503,Unemployed,Blonde,Hyundai,Accent,15,1.2,Hatchback,14300,Hybrid,Calm,Yes,5189,5
O006,Female,Hispanic,69,46551,Student,Bald,Honda,Fit,2,1.4,Hatchback,33800,Petrol,Calm,Yes,8556,2
O007,Male,Black,24,102313,Doctor,Black,Hyundai,Accent,3,2.2,Sedan,21300,Electric,Moderate,Yes,13792,3
O008,Female,Asian,43,83148,Developer,Red,Audi,A3,1,4.0,Coupe,42600,Hybrid,Calm,Yes,27619,3
O009,Female,Mixed,24,63555,Unemployed,Gray,BMW,M3,7,4.0,Sedan,29900,Petrol,Calm,No,17206,2
O010,Male,Mixed,57,34457,Student,Blonde,Honda,Accord,5,1.6,SUV,30100,Electric,Moderate,Yes,15805,1
O011,Female,Hispanic,21,186829,Artist,Red,Skoda,Superb,17,1.4,Wagon,19500,Petrol,Calm,No,11873,3
O012,Female,Hispanic,25,55397,Doctor,Black,Toyota,Corolla,7,1.4,Coupe,26700,Hybrid,Moderate,Yes,29276,4
O013,Male,Asian,35,97798,Doctor,Blonde,BMW,M3,12,1.2,Convertible,23300,Petrol,Aggressive,Yes,12208,4
O014,Female,Other,52,76858,Manager,Bald,Honda,CR-V,0,2.2,Wagon,38800,Diesel,Aggressive,Yes,17666,4
O015,Female,Mixed,59,41854,Student,Brown,BMW,X5,8,3.0,Sedan,20500,Hybrid,Aggressive,Yes,24483,0
O016,Male,White,65,142478,Doctor,Red,Toyota,Camry,4,2.0,Coupe,35500,Petrol,Aggressive,Yes,24115,5
O017,Other,White,44,123066,Lawyer,Black,Skoda,Octavia,0,2.2,Coupe,36700,Petrol,Calm,Yes,19948,5
O018,Other,Hispanic,31,105982,Doctor,Gray,Ford,Explorer,8,1.6,Convertible,28900,Petrol,Calm,Yes,5206,1
O019,Male,Hispanic,59,38419,Artist,Dyed,Ford,Fiesta,12,1.6,Coupe,21700,Electric,Moderate,No,29242,0
O020,Male,Asian,47,120878,Developer,Brown,Toyota,Prius,6,2.2,Convertible,18500,Petrol,Aggressive,Yes,28276,2
